categoria,bloque,codigo,descripcion,precio,hay_stock,stock_texto,specs
ipad,Accesorios,APPC,Apple Pencil USBC,USD 140,SI,,
ipad,Accesorios,APPP,Apple Pencil PRO,USD 170,SI,,
ipad,Accesorios,MK11,"Magic Keyboard 11"" for iPad Pro M4/M5",USD 430,SI,,
ipad,Accesorios,MK13,"Magic Keyboard 13"" for iPad Pro M4/M5",USD 490,SI,,
ipad,Accesorios,MKA11,"Magic Keyboard 11"" for iPad Air M4",USD 430,SI,,
ipad,Accesorios,MKA13,"Magic Keyboard 13"" for iPad Air M4",USD 470,SI,,
ipad,Accesorios,MF11,"Magic Folio 11"" for iPad 11th",USD 380,SI,,
imac,"iMac 24"" M4",IM416256,M4 - 8 core CPU / 8 core GPU - 16GB - 256SSD,USD 2.080,SI,,
imac,"iMac 24"" M4",IM416256CTO,M4 - 10 core CPU / 10 core GPU - 16GB - 256SSD,USD 2.300,SI,,
imac,"iMac 24"" M4",IM416512,M4 - 10 core CPU / 10 core GPU - 16GB - 512SSD,USD 2.610,SI,,
imac,"iMac 24"" M4",IM424512,M4 - 10 core CPU / 10 core GPU - 24GB - 512 SSD,USD 2.890,SI,,
imac,"iMac 24"" M4",IM4241T,M4 - 10 core CPU / 10 core GPU - 24GB - 1TB SSD,USD 3.600,SI,,
imac,"iMac 24"" M4",IM4321T,M4 - 10 core CPU / 10 core GPU - 32GB - 1TB SSD,USD 3.800,SI,,
imac,Mac Mini M4,MMM416256,M4 - 10 core CPU / 10 core GPU - 16GB - 256SSD,USD 900,SI,,
